Ticker,Sector,Industry,Region,Market_Cap,Market_Cap_Classification,Volatility_Classification,Growth_vs_Value,P/E_Ratio,Dividend_Yield_percent,52_Week_High,52_Week_Low,Beta,Avg_Volume,Avg_Close_Price
PWOD,Financial Services,Banks - Regional,North America,243858928,Small Cap,Low Volatility,Value,12.227272,3.9699999999999998,32.28,17.01,0.456,26120.717131474103,21.238513840147224
CFFN,Financial Services,Banks - Regional,North America,882287680,Small Cap,Low Volatility,Growth,23.034483,5.09,7.2,4.76,0.451,856849.8007968127,5.671887483254847
SAM,Consumer Defensive,Beverages - Brewers,North America,3602542848,Small Cap,High Volatility,Growth,46.50588,0.0,371.65,254.4,1.06,149943.4262948207,303.0398405158662
ALV,Consumer Cyclical,Auto Parts,North America,7805868544,Small Cap,High Volatility,Value,12.939948,2.8199999,129.38,89.51,1.602,693685.2589641435,106.32771088497572
HOMB,Financial Services,Banks - Regional,North America,6313824768,Small Cap,High Volatility,Value,16.371134,2.4600001,32.91,22.38,1.041,1003627.0916334662,24.977437889433478
BELFB,Technology,Electronic Components,North America,1026304000,Small Cap,High Volatility,Value,19.461166,0.34999999,85.91,45.75,1.279,92973.70517928287,66.58030878500159
ISRL,Financial Services,Shell Companies,North America,144794816,Small Cap,Unknown,Growth,37.666664,0.0,11.3,10.64,,34905.57768924303,10.963366459090397
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,North America,2172798464,Small Cap,Low Volatility,Value,15.0132885,0.0,65.92,36.56,0.824,403172.11155378487,47.078446209668165
MUSA,Consumer Cyclical,Specialty Retail,North America,11205632000,Mid Cap,Low Volatility,Growth,22.627014,0.34999999,561.08,350.55,0.756,195428.68525896413,445.88460549890283
CCI,Real Estate,REIT - Specialty,North America,46371643392,Mid Cap,Low Volatility,Growth,37.677307,5.89,120.92,92.48,0.875,2727831.474103586,104.59411891618097
CBOE,Financial Services,Financial Data & Stock Exchanges,North America,22804768768,Mid Cap,Low Volatility,Growth,29.407356,1.17,221.66,166.13,0.666,841258.5657370518,189.35553811365864
EMN,Basic Materials,Specialty Chemicals,North America,12138409984,Mid Cap,High Volatility,Value,14.037534,3.09,114.5,80.71,1.459,955334.2629482072,95.62327429782822
MYE,Consumer Cyclical,Packaging & Containers,North America,432213696,Small Cap,High Volatility,Growth,27.61905,4.66,23.63,10.35,1.25,305081.6733067729,16.315813680094077
COTY,Consumer Defensive,Household & Personal Products,North America,6445949440,Small Cap,High Volatility,Growth,41.055553,0.0,13.3,6.93,1.914,4276516.334661354,10.400756980318473
ARW,Technology,Electronics & Computer Distribution,North America,6319262720,Small Cap,High Volatility,Value,13.380847,0.0,137.8,108.51,1.274,474947.41035856574,124.1347011854924
TCBK,Financial Services,Banks - Regional,North America,1613303936,Small Cap,Low Volatility,Value,14.386906,2.73,51.06,31.73,0.549,115942.23107569721,39.431253714390486
SBRA,Real Estate,REIT - Healthcare Facilities,North America,4473847808,Small Cap,High Volatility,Growth,45.682926,6.41,20.03,12.83,1.235,2048602.390438247,14.968806498554123
OSIS,Technology,Electronic Components,North America,2964477952,Small Cap,High Volatility,Growth,23.098959,0.0,177.56,120.42,1.099,126233.06772908366,138.71996006452704
OZK,Financial Services,Banks - Regional,North America,5668946944,Small Cap,High Volatility,Value,8.21875,3.2800000000000002,52.36,37.43,1.152,1272831.4741035856,43.48824526114293
UMBF,Financial Services,Banks - Regional,North America,6151043072,Small Cap,Low Volatility,Value,15.666666,1.28,129.94,73.54,0.789,365640.2390438247,90.4953426345886
CBRL,Consumer Cyclical,Restaurants,North America,1233670912,Small Cap,High Volatility,Growth,30.360655,1.7999999999999998,83.52,34.88,1.417,717594.422310757,54.72228417263563
WSFS,Financial Services,Banks - Regional,North America,3559197952,Small Cap,High Volatility,Value,13.671983,1.0,62.75,39.99,1.017,280944.22310756973,47.25930801330809
NYCB,Financial Services,Banks - Regional,North America,4380972032,Small Cap,Low Volatility,Unknown,,0.38,34.47,5.1,0.987,7735139.908366534,13.892669554250649
HXL,Industrials,Aerospace & Defense,North America,5134723072,Small Cap,High Volatility,Growth,48.389313,0.95,77.09,57.5,1.298,831897.2111553785,66.22275889727224
ALLE,Industrials,Security & Protection Services,North America,12292670464,Mid Cap,High Volatility,Growth,21.634407,1.3599999999999999,156.1,104.25,1.123,751572.5099601593,128.96805146965846
VOXX,Technology,Consumer Electronics,North America,170814064,Small Cap,High Volatility,Unknown,,0.0,11.74,2.27,1.225,786234.6613545817,6.534940242767334
WMB,Energy,Oil & Gas Midstream,North America,71336468480,Mid Cap,High Volatility,Growth,24.796612,3.25,60.36,32.65,1.062,6340596.812749004,41.2248088183156
TTMI,Technology,Electronic Components,North America,2486004224,Small Cap,High Volatility,Growth,36.939392,0.0,25.49,13.43,1.221,744572.1115537848,17.707250959844703
FARM,Consumer Defensive,Packaged Foods,North America,48066220,Small Cap,High Volatility,Unknown,,0.0,4.04,1.67,1.779,74089.64143426294,2.8557768960398033
CRL,Healthcare,Diagnostics & Research,North America,10206264320,Mid Cap,High Volatility,Growth,24.8825,0.0,275.0,176.48,1.376,607296.015936255,218.6896016398274
NVEE,Industrials,Engineering & Construction,North America,1415903616,Small Cap,High Volatility,Growth,40.296295,0.0,28.7525,21.4,1.177,342406.7729083665,24.29056270948919
PII,Consumer Cyclical,Recreational Vehicles,North America,3848150784,Small Cap,High Volatility,Value,19.327732,3.83,100.91,64.56,1.522,747587.6494023905,83.14056177633218
AXDX,Healthcare,Medical Devices,North America,41572708,Small Cap,Low Volatility,Unknown,,0.0,5.23,0.73,0.598,78516.73306772909,1.6882470124271287
USFD,Consumer Defensive,Food Distribution,North America,16270781440,Mid Cap,High Volatility,Growth,29.944206,0.0,70.8,43.24,1.661,1795857.3705179284,53.95689230991075
WMK,Consumer Defensive,Grocery Stores,North America,1959010560,Small Cap,Low Volatility,Growth,20.457867,1.87,76.62,58.87,0.468,87447.01195219124,64.64918929932126
PNC,Financial Services,Banks - Regional,North America,85308473344,Mid Cap,High Volatility,Value,18.150465,2.98,216.26,136.4,1.121,1907875.298804781,162.6726588518971
UEC,Energy,Uranium,North America,3418784256,Small Cap,High Volatility,Unknown,,0.0,8.77,4.06,1.832,7747325.896414342,6.637808765548159
ACTG,Industrials,Business Equipment & Supplies,North America,443025344,Small Cap,Low Volatility,Value,7.844828,0.0,5.74,3.65,0.526,260204.3824701195,4.665298802919122
ESAB,Industrials,Metal Fabrication,North America,7802640896,Small Cap,High Volatility,Growth,29.006742,0.25,135.97,78.34,1.321,257522.70916334662,100.82306528281406
MATX,Industrials,Marine Shipping,North America,5087122944,Small Cap,High Volatility,Value,12.883094,0.89,169.12,94.58,1.06,289929.08366533864,122.83842282846155
PGC,Financial Services,Banks - Regional,North America,640632064,Small Cap,Low Volatility,Value,19.857141,0.5499999999999999,37.88,20.3,0.961,96872.11155378487,26.31497484944256
SPWH,Consumer Cyclical,Specialty Retail,North America,82887984,Small Cap,Low Volatility,Unknown,,0.0,5.405,1.81,0.657,473499.6015936255,3.1002191271914903
GERN,Healthcare,Biotechnology,North America,2520768256,Small Cap,Low Volatility,Unknown,,0.0,5.34,1.64,0.515,10050955.378486056,3.554462152648257
PRI,Financial Services,Insurance - Life,North America,10153902080,Mid Cap,High Volatility,Value,15.175438,1.1900000000000002,307.91,184.76,1.083,151980.4780876494,242.4391408973481
KEYS,Technology,Scientific & Technical Instruments,North America,29485787136,Mid Cap,Low Volatility,Growth,48.811428,0.0,175.39,119.72,0.981,1248290.8366533865,149.62035862288153
AGEN,Healthcare,Biotechnology,North America,82405584,Small Cap,High Volatility,Unknown,,0.0,19.69,2.5,1.386,652145.358565737,10.093466147008645
EXPE,Consumer Cyclical,Travel Services,North America,23733823488,Mid Cap,High Volatility,Growth,23.976624,0.0,190.4,107.25,1.785,2131419.920318725,139.3876096565885
CMC,Basic Materials,Steel,North America,7034140160,Small Cap,High Volatility,Value,14.900967,1.17,63.41,44.93,1.135,864219.123505976,53.69091424524072
AMSWA,Technology,Software - Application,North America,388512576,Small Cap,Low Volatility,Growth,40.555553,4.0900003,12.2699,8.41,0.75,209762.81673306774,10.39420171182944
HD,Consumer Cyclical,Home Improvement Retail,North America,426281861120,Large Cap,High Volatility,Growth,29.152853,2.1,439.37,318.96,1.011,3455296.015936255,359.27157398239075
DAN,Consumer Cyclical,Auto Parts,North America,1467190016,Small Cap,High Volatility,Unknown,,4.0,15.07,7.58,2.304,1415694.8207171315,11.720725374867717
GEHC,Healthcare,Health Information Services,North America,38020972544,Mid Cap,Unknown,Growth,22.8,0.16999999999999998,94.55,67.0,,3012123.505976096,82.84377428639932
WD,Financial Services,Mortgage Finance,North America,3742010368,Small Cap,High Volatility,Growth,39.350002,2.3599999,118.19,87.2,1.539,204644.22310756973,99.47193106237161
HSII,Industrials,Staffing & Employment Services,North America,941685120,Small Cap,Low Volatility,Growth,25.213114,1.2999999,49.02,26.52,0.844,149020.7171314741,33.88827690945204
OMI,Healthcare,Medical Distribution,North America,1038658240,Small Cap,Low Volatility,Unknown,,0.0,28.35,11.42,0.409,828162.1513944223,18.3635856468839
EXLS,Technology,Information Technology Services,North America,7495531008,Small Cap,Low Volatility,Growth,40.666668,0.0,47.37,28.16,0.992,948680.876494024,33.607171381612226
CVEO,Consumer Cyclical,Lodging,North America,322008064,Small Cap,High Volatility,Value,16.699999,4.279999999999999,28.92,21.44,2.062,52687.25099601594,24.36004628033277
AXP,Financial Services,Credit Services,North America,214630301696,Large Cap,High Volatility,Growth,22.419426,0.9199999999999999,307.82,165.93,1.214,2925722.310756972,233.23969186729644
HLNE,Financial Services,Asset Management,North America,10644471808,Mid Cap,High Volatility,Growth,41.64502,1.0199999,203.72,97.94,1.193,307419.5219123506,133.09902458646857
SGMO,Healthcare,Biotechnology,North America,479888384,Small Cap,Unknown,Unknown,,0.0,3.18,0.3,,6447710.3585657375,0.8163745029276586
AVD,Basic Materials,Agricultural Inputs,North America,173590448,Small Cap,Low Volatility,Unknown,,2.0,14.28,4.95,0.881,263674.1035856574,8.805910009786903
PPBI,Financial Services,Banks - Regional,North America,2770737920,Small Cap,High Volatility,Unknown,,4.65,30.28,20.52,1.183,549301.9920318725,24.062312441518106
CLFD,Technology,Communication Equipment,North America,437231168,Small Cap,High Volatility,Unknown,,0.0,44.83,24.78,1.356,179309.56175298805,33.78139449495718
BXP,Real Estate,REIT - Office,North America,14614306816,Mid Cap,High Volatility,Growth,35.647827,4.78,90.11,56.46,1.195,1301474.9003984064,67.62147968793771
NR,Energy,Oil & Gas Equipment & Services,North America,723117376,Small Cap,High Volatility,Growth,22.0,0.0,8.65,5.61,2.88,697541.4342629482,7.270876500711023
SNOW,Technology,Software - Application,North America,57696411648,Mid Cap,Low Volatility,Unknown,,0.0,237.72,107.13,0.828,6664374.103585658,152.7740634143115
LVS,Consumer Cyclical,Resorts & Casinos,North America,38469877760,Mid Cap,High Volatility,Growth,26.267328,1.50999995,55.66,36.62,1.117,5708266.135458168,46.78271150019064
IVZ,Financial Services,Asset Management,North America,8130369536,Small Cap,High Volatility,Unknown,,4.5300003,18.94,14.16,1.424,4258685.657370518,15.891671473286541
PSA,Real Estate,REIT - Industrial,North America,61526188032,Mid Cap,Low Volatility,Growth,36.10477,3.45,369.99,256.31,0.69,733196.015936255,298.35426330566406
ATRC,Healthcare,Medical Instruments & Supplies,North America,1763403904,Small Cap,High Volatility,Unknown,,0.0,39.05,18.94,1.408,696483.266932271,28.529442205847023
NSA,Real Estate,REIT - Industrial,North America,6675024896,Small Cap,High Volatility,Growth,25.919538,5.06,49.44,34.49,1.014,720854.1832669323,39.78444496853893
KIM,Real Estate,REIT - Retail,North America,17377806336,Mid Cap,High Volatility,Growth,47.35185,3.9100002000000003,25.83,17.57,1.485,4790427.49003984,20.661834549618906
COHR,Technology,Scientific & Technical Instruments,North America,15491146752,Mid Cap,High Volatility,Unknown,,0.0,111.66,37.5,1.654,2296363.74501992,67.79980079681275
CB,Financial Services,Insurance - Property & Casualty,North America,117035548672,Large Cap,Low Volatility,Value,11.833198,1.26,302.05,216.91,0.681,1636872.908366534,259.73175930311953
ABNB,Consumer Cyclical,Travel Services,North America,86393380864,Mid Cap,High Volatility,Growth,47.096886,0.0,170.1,110.38,1.156,4576350.597609562,142.47348587826428
KO,Consumer Defensive,Beverages - Non-Alcoholic,North America,277551644672,Large Cap,Low Volatility,Growth,26.58921,3.0299999,73.53,57.47,0.62,13719457.768924303,62.485729688667206
GWW,Industrials,Industrial Distribution,North America,58726092800,Mid Cap,High Volatility,Growth,32.682755,0.6799999999999999,1227.66,794.0,1.151,233209.16334661355,963.5484332202441
ADTN,Technology,Communication Equipment,North America,674100160,Small Cap,High Volatility,Unknown,,6.77,9.05,4.34,1.2,840637.0517928287,5.954422301030254
MUR,Energy,Oil & Gas E&P,North America,4744289280,Small Cap,High Volatility,Value,10.4405155,3.6999999999999997,49.14,30.99,2.203,1649231.4741035856,38.669362102371764
BRBR,Consumer Defensive,Packaged Foods,North America,10104236032,Mid Cap,Low Volatility,Growth,42.182796,0.0,79.9,48.06,0.895,1198666.1354581674,58.42577685777884
AIN,Consumer Cyclical,Textile Manufacturing,North America,2594769920,Small Cap,High Volatility,Growth,25.90625,1.25,99.41,67.39,1.294,169166.93227091632,86.9131976427785
NKTR,Healthcare,Biotechnology,North America,210282112,Small Cap,Low Volatility,Unknown,,0.0,1.93,0.46,0.61,1724617.9282868525,1.1035856551145653
ACIW,Technology,Software - Infrastructure,North America,5959793152,Small Cap,High Volatility,Growth,26.928911,0.0,59.71,26.87,1.194,663376.4940239044,39.27338642713083
NWE,Utilities,Utilities - Regulated Electric,North America,3386996480,Small Cap,Low Volatility,Value,14.889488,4.71,57.49,46.15,0.489,352731.07569721114,50.699486037174545
BUSE,Financial Services,Banks - Regional,North America,1531731072,Small Cap,Low Volatility,Value,13.68718,3.5999999999999996,28.97,21.68,0.832,223780.8764940239,23.981425501910813
BEBE,Industrials,Rental & Leasing Services,North America,15963884,Small Cap,Low Volatility,Growth,62.0,12.94,5.5,0.91,0.179,7052.191235059761,1.070457205354455
MCRI,Consumer Cyclical,Resorts & Casinos,North America,1544868352,Small Cap,High Volatility,Value,18.545254,1.43,86.68,62.93,1.759,116651.79282868525,71.05367417354508
CDNS,Technology,Software - Application,North America,84146634752,Mid Cap,High Volatility,Growth,80.73947,0.0,328.99,241.29,1.02,1737683.266932271,286.61984046236927
PEN,Healthcare,Medical Devices,North America,9370277888,Small Cap,Low Volatility,Growth,277.4091,0.0,277.34,148.0,0.514,374408.764940239,215.22661295735028
GVA,Industrials,Engineering & Construction,North America,4343720960,Small Cap,High Volatility,Growth,42.105934,0.52,100.57,43.92,1.402,518876.4940239044,63.79180628559979
SFL,Industrials,Marine Shipping,North America,1409080448,Small Cap,Low Volatility,Value,10.52,10.27,14.62,10.01,0.722,839377.6892430279,11.854818275725224
THC,Healthcare,Medical Care Facilities,North America,13568439296,Mid Cap,High Volatility,Value,4.5180492,0.0,171.2,67.78,2.15,1210783.266932271,123.20155352710253
DK,Energy,Oil & Gas Refining & Marketing,North America,1235819136,Small Cap,High Volatility,Unknown,,5.35,33.6,15.36,1.144,1064662.1513944224,23.40177053474335
KIRK,Consumer Cyclical,Home Improvement Retail,North America,23481040,Small Cap,High Volatility,Unknown,,0.0,3.54,1.39,2.417,152894.42231075699,2.166932266071973
KMPR,Financial Services,Insurance - Property & Casualty,North America,4578612736,Small Cap,Low Volatility,Value,17.02143,1.73,73.01,44.48,0.843,383769.32270916336,58.706022908488116
WAL,Financial Services,Banks - Regional,North America,10303558656,Mid Cap,High Volatility,Value,14.468316,1.6199999999999999,98.1,53.22,1.435,1310574.9003984064,68.91585036197982
LITE,Technology,Communication Equipment,North America,5974839296,Small Cap,Low Volatility,Unknown,,0.0,91.21,38.285,0.881,1460385.2589641435,53.88808770958646
ESPR,Healthcare,Drug Manufacturers - Specialty & Generic,North America,551697984,Small Cap,Low Volatility,Unknown,,0.0,3.4,1.35,0.954,6152809.163346614,2.2267330609469775
JBT,Industrials,Specialty Industrial Machinery,North America,4012804352,Small Cap,High Volatility,Growth,28.192394,0.32,127.31,82.64,1.226,279118.3266932271,98.47743872532331
CNS,Financial Services,Asset Management,North America,5291379712,Small Cap,High Volatility,Growth,39.05224,2.25,110.67,60.26,1.501,221037.0517928287,78.34040233718447
B,Industrials,Specialty Industrial Machinery,North America,2387050752,Small Cap,High Volatility,Unknown,,1.37,47.4,26.95,1.344,428764.54183266935,37.97557671231578
LADR,Real Estate,REIT - Mortgage,North America,1518886400,Small Cap,High Volatility,Value,15.605263,7.76,12.48,10.1,1.985,636566.9322709163,10.927804149004567
CNSL,Communication Services,Telecom Services,North America,553245568,Small Cap,Low Volatility,Unknown,,0.0,4.72,4.18,0.986,543922.3107569721,4.447131489377573
SRNE,Healthcare,Biotechnology,North America,992305,Small Cap,High Volatility,Unknown,,0.0,0.2495,0.0001,1.835,799809.5657370518,0.021721753043127692
WBA,Healthcare,Pharmaceutical Retailers,North America,7833428480,Small Cap,Low Volatility,Unknown,,11.09,27.05,8.08,0.669,17224878.0876494,14.856898019038349
DINO,Energy,Oil & Gas Refining & Marketing,North America,7710475264,Small Cap,High Volatility,Growth,23.65896,4.8899997,64.16,38.25,1.162,2030633.8645418326,50.489019143153946
HTH,Financial Services,Banks - Regional,North America,2065782784,Small Cap,High Volatility,Value,19.417177,2.15,35.66,28.58,1.137,316915.1394422311,31.230406916948905
NEM,Basic Materials,Gold,North America,47860244480,Mid Cap,Low Volatility,Unknown,,2.3800000000000003,58.72,29.42,0.531,10663353.386454184,42.27331427463972
IDA,Utilities,Utilities - Regulated Electric,North America,6325255680,Small Cap,Low Volatility,Growth,21.81768,2.9000001,120.42,86.43,0.598,344979.2828685259,96.080717079193
CGNX,Technology,Scientific & Technical Instruments,North America,6879478272,Small Cap,High Volatility,Growth,78.39216,0.8,53.13,34.79,1.402,1260631.87250996,41.26737156902176
ADPT,Healthcare,Biotechnology,North America,876619328,Small Cap,High Volatility,Unknown,,0.0,6.7,2.28,1.447,1428603.984063745,4.11125498463908
CHTR,Communication Services,Telecom Services,North America,56442068992,Mid Cap,High Volatility,Value,12.436247,0.0,415.27,236.08,1.036,1351296.015936255,323.911195124288
ZEUS,Basic Materials,Steel,North America,471016096,Small Cap,High Volatility,Value,18.54386,1.4199998999999999,73.49,32.23,1.473,118160.95617529881,52.58867848916832
NPK,Industrials,Aerospace & Defense,North America,566039936,Small Cap,Low Volatility,Value,16.747898,1.25,86.08,69.58,0.623,37705.57768924303,76.0893160147496
GOGO,Communication Services,Telecom Services,North America,1023841024,Small Cap,High Volatility,Value,18.674417,0.0,11.17,6.17,1.103,994811.5537848605,8.701673300617719
MLAB,Technology,Scientific & Technical Instruments,North America,642809280,Small Cap,Low Volatility,Unknown,,0.5499999999999999,141.17,83.68,0.865,43491.235059760955,109.08500899356675
PHX,Energy,Oil & Gas E&P,North America,142801840,Small Cap,Low Volatility,Growth,29.307693,4.2,3.88,2.95,0.546,57974.10358565737,3.2273519390607737
INGR,Consumer Defensive,Packaged Foods,North America,9600320512,Small Cap,Low Volatility,Value,14.374634,2.17,155.44,104.52,0.733,381068.12749003986,119.9942642759042
TLYS,Consumer Cyclical,Apparel Retail,North America,126939504,Small Cap,High Volatility,Unknown,,0.0,8.09,3.57,1.633,87703.18725099602,5.879083674267469
ASH,Basic Materials,Specialty Chemicals,North America,3689131008,Small Cap,Low Volatility,Value,19.762024,2.08,102.5,75.04,0.882,425011.95219123503,88.88777972217575
NVT,Industrials,Electrical Equipment & Parts,North America,12906740736,Mid Cap,High Volatility,Growth,22.830902,0.97,86.57,53.49,1.25,1532645.8167330676,69.56049837819134
GME,Consumer Cyclical,Specialty Retail,North America,13792678912,Mid Cap,Low Volatility,Growth,207.5,0.0,64.83,9.95,-0.098,18354637.05179283,19.730756961017015
MU,Technology,Semiconductors,North America,109399367680,Large Cap,High Volatility,Growth,139.92857,0.47000000000000003,157.54,72.93,1.179,20993277.290836655,104.33621662641427
FOXA,Communication Services,Entertainment,North America,20780531712,Mid Cap,Low Volatility,Value,11.5207815,1.15,47.585,28.285,0.77,3143184.462151394,35.087629842568205
PRGS,Technology,Software - Infrastructure,North America,2935131136,Small Cap,Low Volatility,Growth,36.77957,1.0199999,70.56,48.0,0.92,479067.33067729085,56.142765577095915
CC,Basic Materials,Specialty Chemicals,North America,3260130304,Small Cap,High Volatility,Growth,43.48,4.6,32.7,15.1,1.745,1545610.358565737,23.769249532327233
NNN,Real Estate,REIT - Retail,North America,8326161408,Small Cap,High Volatility,Growth,20.36111,5.2800003,49.57,38.88,1.088,1215334.262948207,42.33832200494896
JAZZ,Healthcare,Biotechnology,North America,7414156800,Small Cap,Low Volatility,Value,17.22238,0.0,134.17,99.06,0.573,670911.952191235,114.76776885986328
PRAA,Financial Services,Credit Services,North America,846490560,Small Cap,High Volatility,Value,19.272728,0.0,31.43,18.64,1.501,219671.31474103587,22.90302792583329
PLTR,Technology,Software - Infrastructure,North America,150463119360,Large Cap,High Volatility,Growth,335.4,0.0,67.88,15.664,2.697,58435744.62151395,28.65745017822995
EVER,Communication Services,Internet Content & Information,North America,677334080,Small Cap,High Volatility,Growth,53.305553,0.0,28.09,9.86,1.055,459597.609561753,18.886633527231407
BDX,Healthcare,Medical Instruments & Supplies,North America,64179245056,Mid Cap,Low Volatility,Growth,37.866894,1.7500000000000002,249.89,218.75,0.45,1448546.6135458166,234.67277490380275
AWK,Utilities,Utilities - Regulated Water,North America,26955816960,Mid Cap,Low Volatility,Growth,27.170635,2.23,150.68,113.34,0.698,1183894.0239043825,130.35622241867492
EQIX,Real Estate,REIT - Specialty,North America,94701240320,Mid Cap,Low Volatility,Growth,88.50135,1.7399999999999998,994.03,684.14,0.701,525569.7211155378,813.320395420272
CPRI,Consumer Cyclical,Luxury Goods,North America,2772867584,Small Cap,High Volatility,Unknown,,0.0,51.23,18.7,2.049,2052876.09561753,38.64808771809734
VICR,Technology,Electronic Components,North America,2406523392,Small Cap,High Volatility,Growth,532.1,0.0,61.05,30.9,1.487,231219.9203187251,39.23239055192803
CHRS,Healthcare,Biotechnology,North America,145169024,Small Cap,Low Volatility,Unknown,,0.0,3.7,0.66,0.693,3202381.673306773,1.7922868467422122
MMSI,Healthcare,Medical Instruments & Supplies,North America,6055229952,Small Cap,Low Volatility,Growth,50.68293,0.0,106.87,65.46,0.892,467439.8406374502,84.54517926827845
FRT,Real Estate,REIT - Retail,North America,10059698176,Mid Cap,High Volatility,Growth,33.909885,3.7699999999999996,118.34,95.98,1.258,622253.7848605578,104.12197511224633
RELY,Technology,Software - Infrastructure,North America,4125610496,Small Cap,Low Volatility,Unknown,,0.0,22.08,11.6,0.026,1738019.123505976,16.386713164736076
NCMI,Communication Services,Advertising Agencies,North America,659659968,Small Cap,High Volatility,Unknown,,0.0,7.39,3.64,2.066,586700.0,5.294223113838895
