Ticker,Sector,Industry,Region,Market Cap Classification,Volatility Classification,Growth vs Value,P/E Ratio,Dividend Yield (%),Beta,Avg Volume,Recent Close Price,EPS,Revenue,Net Income,Debt-to-Equity Ratio,ROE,P/B Ratio,Free Cash Flow,Analyst Ratings,Insider Transactions
CBOE,Financial Services,Financial Data & Stock Exchanges,North America,Large Cap,Low Volatility,Growth,29.407356,1.17,0.666,841258.5657,215.8500061,7.34,3955599872,776200000,38.137,0.19518,5.369003,751675008,strongBuy,Negative
EMN,Basic Materials,Specialty Chemicals,North America,Large Cap,High Volatility,Value,14.037534,3.09,1.459,955334.2629,104.7200012,7.46,9344000000,885000000,90.817,0.15925,2.1459017,510500000,buy,Negative
MYE,Consumer Cyclical,Packaging & Containers,North America,Small Cap,High Volatility,Growth,27.61905,4.66,1.25,305081.6733,11.60000038,0.42,823481984,15443000,157.708,0.055370003,1.5669324,12223625,buy,Positive
COTY,Consumer Defensive,Household & Personal Products,North America,Mid Cap,High Volatility,Growth,41.055553,0,1.914,4276516.335,7.389999866,0.18,6148100096,157500000,94.436,0.04405,1.5854967,317312512,buy,Positive
ARW,Technology,Electronics & Computer Distribution,North America,Mid Cap,High Volatility,Value,13.380847,0,1.274,474947.4104,120.1600037,8.98,28489603072,487403008,54.225,0.08453,1.0596588,982239360,sell,Negative
TCBK,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Value,14.386906,2.73,0.549,115942.2311,48.34000015,3.36,387200000,111909000,,0.096920006,1.2875217,,buy,Negative
SBRA,Real Estate,REIT - Healthcare Facilities,North America,Mid Cap,High Volatility,Growth,45.682926,6.41,1.235,2048602.39,18.72999954,0.41,683224000,97173000,90.3,0.03462,1.6143768,235092256,buy,Positive
OSIS,Technology,Electronic Components,North America,Mid Cap,Medium Volatility,Growth,23.098959,0,1.099,126233.0677,177.3999939,7.68,1603554944,133211000,97.278,0.17633,3.7692552,-223358752,buy,Negative
UMBF,Financial Services,Banks - Regional,North America,Mid Cap,Low Volatility,Growth,15.666666,1.28,0.789,365640.239,125.4899979,8.01,1523549952,392168992,,0.12367,1.7320431,,buy,Negative
CBRL,Consumer Cyclical,Restaurants,North America,Small Cap,High Volatility,Growth,30.360655,1.8,1.417,717594.4223,55.56000137,1.83,3470761984,40930000,273.2,0.088599995,2.8026636,-19411750,strongSell,Positive
WSFS,Financial Services,Banks - Regional,North America,Mid Cap,Medium Volatility,Value,13.671983,1,1.017,280944.2231,60.02000046,4.39,971985984,263376992,,0.10722999,1.3229297,,buy,Negative
NYCB,Financial Services,Banks - Regional,North America,Mid Cap,Medium Volatility,Unknown,,0.38,0.987,7735139.908,11.97000027,-14.5,1427000064,-3675000064,,-0.37158,0.5430027,,buy,Negative
HXL,Industrials,Aerospace & Defense,North America,Mid Cap,High Volatility,Growth,48.389313,0.95,1.298,831897.2112,63.38999939,1.31,1886700032,108100000,50.657,0.06682,3.230393,177037504,buy,Positive
ALLE,Industrials,Security & Protection Services,North America,Large Cap,Medium Volatility,Growth,21.634407,1.36,1.123,751572.51,140.8399963,6.51,3724000000,572000000,162.864,0.40822,7.79284,483849984,buy,Negative
VOXX,Technology,Consumer Electronics,North America,Small Cap,High Volatility,Unknown,,0,1.225,786234.6614,7.809999943,-1.12,427492000,-25905000,23.284,-0.11311,0.5888118,-18670750,buy,Positive
WMB,Energy,Oil & Gas Midstream,North America,Large Cap,Medium Volatility,Growth,24.796612,3.25,1.062,6340596.813,58.52000046,2.36,10366000128,2883000064,182.368,0.20583001,5.755877,1195124992,buy,Negative
TTMI,Technology,Electronic Components,North America,Mid Cap,High Volatility,Growth,36.939392,0,1.221,744572.1116,24.37999916,0.66,2360826880,68467000,66.069,0.04492,1.6069074,33093124,buy,Negative
FARM,Consumer Defensive,Packaged Foods,North America,Small Cap,High Volatility,Unknown,,0,1.779,74089.64143,2.130000114,-0.37,344272000,-7570000,141.103,-0.19232,1.1070687,-11511500,buy,Positive
CRL,Healthcare,Diagnostics & Research,North America,Large Cap,High Volatility,Growth,24.8825,0,1.376,607296.0159,199.0599976,8,4060915968,413080000,72.176,0.11924,2.6911635,495273760,buy,Negative
NVEE,Industrials,Engineering & Construction,North America,Small Cap,Medium Volatility,Growth,40.296295,0,1.177,342406.7729,21.76000023,0.54,914188032,33584000,35.821,0.04243,1.7227457,84607248,buy,Negative
PII,Consumer Cyclical,Recreational Vehicles,North America,Mid Cap,High Volatility,Growth,19.327732,3.83,1.522,747587.6494,69,3.57,7803200000,203600000,172.01,0.15198,2.870097,334900000,buy,Negative
AXDX,Healthcare,Medical Devices,North America,Small Cap,Low Volatility,Unknown,,0,0.598,78516.73307,1.659999967,-2.59,12233000,-37906000,,,,-54674248,strongBuy,Negative
USFD,Consumer Defensive,Food Distribution,North America,Large Cap,High Volatility,Growth,29.944206,0,1.661,1795857.371,69.76999664,2.33,37321998336,575000000,107.859,0.12368,3.5656972,695374976,buy,Negative
PNC,Financial Services,Banks - Regional,North America,Large Cap,Medium Volatility,Growth,18.150465,2.98,1.121,1907875.299,214.7200012,11.83,20483999744,4730999808,,0.099020004,1.7237725,,buy,Negative
UEC,Energy,Uranium,North America,Mid Cap,High Volatility,Unknown,,0,1.832,7747325.896,8.31000042,-0.07,224000,-29221000,0.334,-0.04145,4.3829117,-84811248,buy,Negative
ACTG,Industrials,Business Equipment & Supplies,North America,Small Cap,Low Volatility,Value,7.844828,0,0.526,260204.3825,4.550000191,0.58,165779008,48215000,12.508,0.10132,0.8325709,-111746376,buy,Negative
ESAB,Industrials,Metal Fabrication,North America,Mid Cap,High Volatility,Growth,29.006742,0.25,1.321,257522.7092,129.0800018,4.45,2759395072,271657984,62.396,0.16323,4.246891,284484640,strongBuy,Negative
MATX,Industrials,Marine Shipping,North America,Mid Cap,Medium Volatility,Value,12.883094,0.89,1.06,289929.0837,153.1799927,11.89,3320399872,410800000,25.697,0.16608,1.9897124,483337504,strongBuy,Negative
PGC,Financial Services,Banks - Regional,North America,Small Cap,Medium Volatility,Growth,19.857141,0.55,0.961,96872.11155,36.13999939,1.82,209728000,32347000,,0.05546,1.0374326,,buy,Negative
SPWH,Consumer Cyclical,Specialty Retail,North America,Small Cap,Low Volatility,Unknown,,0,0.657,473499.6016,2.140000105,-0.91,1243937024,-34042000,218.767,-0.13201,0.33328143,71383376,buy,Positive
GERN,Healthcare,Biotechnology,North America,Mid Cap,Low Volatility,Unknown,,0,0.515,10050955.38,4.119999886,-0.32,29480000,-201192992,29.856,-0.69031996,8.494844,-143652256,buy,Positive
PRI,Financial Services,Insurance - Life,North America,Large Cap,Medium Volatility,Growth,15.175438,1.19,1.083,151980.4781,302.75,19.95,3137884928,689819008,106.15,0.32477,5.2108436,889911360,buy,Negative
KEYS,Technology,Scientific & Technical Instruments,North America,Large Cap,Medium Volatility,Growth,48.811428,0,0.981,1248290.837,170.8399963,3.5,5002999808,913000000,38.929,0.18031,5.6680264,750750016,buy,Negative
AGEN,Healthcare,Biotechnology,North America,Small Cap,High Volatility,Unknown,,0,1.386,652145.3586,3.420000076,-11.02,160427008,-227856992,,,,-34503624,buy,Positive
EXPE,Consumer Cyclical,Travel Services,North America,Large Cap,High Volatility,Growth,23.976624,0,1.785,2131419.92,184.6199951,7.7,13393999872,1067000000,255.417,0.38564998,17.9924,1666875008,buy,Negative
CMC,Basic Materials,Steel,North America,Mid Cap,Medium Volatility,Value,14.900967,1.17,1.135,864219.1235,61.68999863,4.14,7925971968,485491008,31.777,0.1153,1.6370778,450841376,buy,Negative
AMSWA,Technology,Software - Application,North America,Small Cap,Low Volatility,Growth,40.555553,4.0900003,0.75,209762.8167,10.52999973,0.27,102806000,9134000,,0.06751,2.7947931,27273250,buy,Positive
HD,Consumer Cyclical,Home Improvement Retail,North America,Large Cap,Medium Volatility,Growth,29.152853,2.1,1.011,3455296.016,429.1300049,14.72,1.54596E+11,14609999872,1095.368,4.04933,73.493744,11943249920,buy,Negative
DAN,Consumer Cyclical,Auto Parts,North America,Small Cap,High Volatility,Unknown,,4,2.304,1415694.821,10,-0.11,10442999808,-16000000,170.767,-0.009430001,0.9796238,245500000,sell,Positive
GEHC,Healthcare,Health Information Services,North America,Large Cap,Unknown,Growth,22.8,0.17,,3012123.506,83.22000122,3.65,19559000064,1675000064,126.093,0.21853,4.571272,1817750016,buy,Negative
WD,Financial Services,Mortgage Finance,North America,Mid Cap,High Volatility,Growth,39.350002,2.3599999,1.539,204644.2231,110.1800003,2.8,986065984,92671000,102.686,0.051090002,2.13867,,strongBuy,Negative
HSII,Industrials,Staffing & Employment Services,North America,Small Cap,Medium Volatility,Growth,25.213114,1.2999999,0.844,149020.7171,46.13999939,1.83,1075544064,38559000,21.438,0.0836,1.9484797,81699752,strongBuy,Negative
OMI,Healthcare,Medical Distribution,North America,Small Cap,Low Volatility,Unknown,,0,0.409,828162.1514,13.47000027,-0.63,10660960256,-48786000,248.461,-0.05539,1.1868887,317832384,sell,Negative
EXLS,Technology,Information Technology Services,North America,Mid Cap,Medium Volatility,Growth,40.666668,0,0.992,948680.8765,46.36000061,1.14,1771004032,187908000,46.885,0.21309,8.218401,145382752,strongBuy,Negative
CVEO,Consumer Cyclical,Lodging,North America,Small Cap,High Volatility,Growth,16.699999,4.28,2.062,52687.251,23.37999916,1.4,701969984,21028000,20.424,0.06801,1.1486121,96396248,strongBuy,Positive
AXP,Financial Services,Credit Services,North America,Large Cap,High Volatility,Growth,22.419426,0.92,1.214,2925722.311,304.6799927,13.59,59238998016,9760000000,186.815,0.3469,7.2204185,,buy,Positive
HLNE,Financial Services,Asset Management,North America,Large Cap,Medium Volatility,Growth,41.64502,1.0199999,1.193,307419.5219,192.3999939,4.62,648657984,181812000,35.906,0.34653,13.248863,167034752,strongSell,Negative
SGMO,Healthcare,Biotechnology,North America,Small Cap,Unknown,Unknown,,0,,6447710.359,2.25999999,-0.71,52291000,-134840000,70.851,-1.54939,12.021277,-71930624,buy,Negative
AVD,Basic Materials,Agricultural Inputs,North America,Small Cap,Medium Volatility,Unknown,,2,0.881,263674.1036,6.010000229,-1.04,553838976,-28932000,61.275,-0.08428001,0.52438706,88869128,buy,Positive
PPBI,Financial Services,Banks - Regional,North America,Mid Cap,Medium Volatility,Unknown,,4.65,1.183,549301.992,28.39999962,-0.13,379784992,-12095000,,-0.00361,0.93056786,,buy,Negative
CLFD,Technology,Communication Equipment,North America,Small Cap,High Volatility,Unknown,,0,1.356,179309.5618,30.60000038,-0.85,166704992,-12453000,7.715,-0.042150002,1.579518,18403000,buy,Negative
BXP,Real Estate,REIT - Office,North America,Large Cap,Medium Volatility,Growth,35.647827,4.78,1.195,1301474.9,81.98999786,2.3,3344005120,363051008,205.408,0.058280002,2.249074,1028967104,buy,Positive
NR,Energy,Oil & Gas Equipment & Services,North America,Small Cap,High Volatility,Growth,22,0,2.88,697541.4343,8.359999657,0.38,748371968,33086000,7.559,0.09059,2.2847772,209255120,buy,Positive
SNOW,Technology,Software - Application,North America,Large Cap,Medium Volatility,Unknown,,0,0.828,6664374.104,174.8000031,-3.39,3206404096,-1017489984,7.56,-0.21624,11.268695,1212240640,buy,Negative
LVS,Consumer Cyclical,Resorts & Casinos,North America,Large Cap,Medium Volatility,Growth,26.267328,1.50999995,1.117,5708266.135,53.06000137,2.02,11317000192,1504000000,384.206,0.45166,11.227254,1588375040,buy,Negative
IVZ,Financial Services,Asset Management,North America,Mid Cap,High Volatility,Unknown,,4.5300003,1.424,4258685.657,18.09000015,-0.91,5887399936,-413600000,5.597,-0.00944,0.75674546,-7649512448,buy,Positive
PSA,Real Estate,REIT - Industrial,North America,Large Cap,Low Volatility,Growth,36.10477,3.45,0.69,733196.0159,348.0499878,9.64,4698625024,1697944064,97.567,0.19163999,11.586604,2154306304,buy,Negative
ATRC,Healthcare,Medical Instruments & Supplies,North America,Small Cap,High Volatility,Unknown,,0,1.408,696483.2669,36.15999985,-0.83,447572992,-38919000,16.586,-0.08389,3.7907538,11411000,buy,Positive
NSA,Real Estate,REIT - Industrial,North America,Mid Cap,Medium Volatility,Growth,25.919538,5.06,1.014,720854.1833,45.09999847,1.74,786921984,143327008,192.104,0.13402,5.319023,268906752,sell,Negative
KIM,Real Estate,REIT - Retail,North America,Large Cap,High Volatility,Growth,47.35185,3.9100002,1.485,4790427.49,25.56999969,0.54,1963219968,354140992,78.638,0.03829,1.6379476,836519104,strongBuy,Negative
COHR,Technology,Scientific & Technical Instruments,North America,Large Cap,High Volatility,Unknown,,0,1.654,2296363.745,100.1600037,-1.23,5002740224,-187750000,50.88,-0.00863,2.8133252,281468736,buy,Negative
CB,Financial Services,Insurance - Property & Casualty,North America,Large Cap,Low Volatility,Value,11.833198,1.26,0.681,1636872.908,288.730011,24.4,54697000960,9996999680,31.706,0.16125,1.7696669,13009625088,buy,Negative
ABNB,Consumer Cyclical,Travel Services,North America,Large Cap,Medium Volatility,Growth,47.096886,0,1.156,4576350.598,136.1100006,2.89,10840000512,1838000000,26.614,0.20873,10.230758,3363000064,buy,Negative
KO,Consumer Defensive,Beverages - Non-Alcoholic,North America,Large Cap,Low Volatility,Growth,26.58921,3.0299999,0.62,13719457.77,64.08000183,2.41,46365999104,10408999936,167.358,0.3723,10.414433,14018875392,buy,Negative
GWW,Industrials,Industrial Distribution,North America,Large Cap,Medium Volatility,Growth,32.682755,0.68,1.151,233209.1633,1205.339966,36.88,16931999744,1828999936,83.325,0.52611,16.759687,1546249984,strongBuy,Positive
ADTN,Technology,Communication Equipment,North America,Small Cap,High Volatility,Unknown,,6.77,1.2,840637.0518,8.5,-6.51,905347008,-512969984,33.893,-0.57579,3.1365314,110550000,buy,Negative
MUR,Energy,Oil & Gas E&P,North America,Mid Cap,High Volatility,Value,10.4405155,3.7,2.203,1649231.474,32.47000122,3.11,3191293952,475967008,39.841,0.10342,0.9020448,703971904,buy,Positive
BRBR,Consumer Defensive,Packaged Foods,North America,Large Cap,Medium Volatility,Growth,42.182796,0,0.895,1198666.135,78.45999908,1.86,1912999936,220900000,,,,219475008,buy,Negative
AIN,Consumer Cyclical,Textile Manufacturing,North America,Mid Cap,High Volatility,Growth,25.90625,1.25,1.294,169166.9323,82.90000153,3.2,1267293952,100394000,36.34,0.10515001,2.6145647,113630752,buy,Positive
NKTR,Healthcare,Biotechnology,North America,Small Cap,Low Volatility,Unknown,,0,0.61,1724617.928,1.139999986,-0.84,93137000,-168300992,421.592,-1.61632,4.301887,-74480248,strongSell,Positive
ACIW,Technology,Software - Infrastructure,North America,Mid Cap,Medium Volatility,Growth,26.928911,0,1.194,663376.494,56.81999969,2.11,1617812992,227179008,77.836,0.17883,4.481426,283791616,buy,Negative
NWE,Utilities,Utilities - Regulated Electric,North America,Mid Cap,Low Volatility,Value,14.889488,4.71,0.489,352731.0757,55.24000168,3.71,1496440960,226700992,105.6,0.081590004,1.202438,-266441872,strongBuy,Neutral
BUSE,Financial Services,Banks - Regional,North America,Small Cap,Medium Volatility,Value,13.68718,3.6,0.832,223780.8765,26.69000053,1.95,446371008,111335000,,0.08587,1.0820124,,buy,Positive
MCRI,Consumer Cyclical,Resorts & Casinos,North America,Small Cap,High Volatility,Growth,18.545254,1.43,1.759,116651.7928,84.01000214,4.53,515859008,86760000,4.15,0.17083,3.0063698,75723624,strongSell,Positive
CDNS,Technology,Software - Application,North America,Large Cap,Medium Volatility,Growth,80.73947,0,1.02,1737683.267,306.8099976,3.8,4353906176,1039172992,61.911,0.27072,18.439209,939971904,buy,Negative
PEN,Healthcare,Medical Devices,North America,Mid Cap,Low Volatility,Growth,277.4091,0,0.514,374408.7649,244.1199951,0.88,1163776000,34547000,20.528,0.03129,8.480805,125270624,buy,Negative
GVA,Industrials,Engineering & Construction,North America,Mid Cap,High Volatility,Growth,42.105934,0.52,1.402,518876.494,99.37000275,2.36,3963969024,110861000,77.42,0.110869996,4.3123727,132300496,buy,Negative
THC,Healthcare,Medical Care Facilities,North America,Large Cap,High Volatility,Value,4.5180492,0,2.15,1210783.267,142.6799927,31.58,20971999232,3126000128,159.393,0.59564996,3.5384269,3382625024,buy,Negative
DK,Energy,Oil & Gas Refining & Marketing,North America,Small Cap,Medium Volatility,Unknown,,5.35,1.144,1064662.151,19.04999924,-5.65,13870799872,-390200000,323.948,-0.34018,1.7247622,236024992,sell,Negative
KIRK,Consumer Cyclical,Home Improvement Retail,North America,Small Cap,High Volatility,Unknown,,0,2.417,152894.4223,1.789999962,-1.49,460352992,-19614000,,,,-2746500,buy,Positive
KMPR,Financial Services,Insurance - Property & Casualty,North America,Mid Cap,Medium Volatility,Growth,17.02143,1.73,0.843,383769.3227,71.48999786,4.2,4639300096,271800000,71.019,0.104490004,1.6509248,-94812496,buy,Positive
WAL,Financial Services,Banks - Regional,North America,Large Cap,High Volatility,Value,14.468316,1.62,1.435,1310574.9,93.61000061,6.47,2910700032,705900032,,0.1157,1.5998428,,buy,Negative
LITE,Technology,Communication Equipment,North America,Mid Cap,Medium Volatility,Unknown,,0,0.881,1460385.259,86.97000122,-8.31,1378499968,-561000000,292.633,-0.50845003,6.659265,76912496,buy,Positive
ESPR,Healthcare,Drug Manufacturers - Specialty & Generic,North America,Small Cap,Medium Volatility,Unknown,,0,0.954,6152809.163,2.799999952,-0.67,295451008,-86771000,,,,-8951375,buy,Negative
JBT,Industrials,Specialty Industrial Machinery,North America,Mid Cap,High Volatility,Growth,28.192394,0.32,1.226,279118.3267,126.0199966,4.47,1692999936,144200000,41.102,0.09749,2.531437,-37262500,buy,Positive
CNS,Financial Services,Asset Management,North America,Mid Cap,High Volatility,Growth,39.05224,2.25,1.501,221037.0518,104.6600037,2.68,496822016,135260000,27.43,0.33527002,10.77636,143033744,buy,Negative
B,Industrials,Specialty Industrial Machinery,North America,Mid Cap,High Volatility,Unknown,,1.37,1.344,428764.5418,46.84000015,-0.78,1616205952,-39801000,88.267,-0.03013,1.8254803,180199744,buy,Negative
LADR,Real Estate,REIT - Mortgage,North America,Small Cap,High Volatility,Growth,15.605263,7.76,1.985,636566.9323,11.85999966,0.76,257004992,96105000,235.238,0.062,0.98866284,,buy,Negative
CNSL,Communication Services,Telecom Services,North America,Small Cap,Medium Volatility,Unknown,,0,0.986,543922.3108,4.670000076,-2.04,1089650048,-233880992,374.148,-0.2505,2.441192,-153001744,strongSell,Negative
WBA,Healthcare,Pharmaceutical Retailers,North America,Mid Cap,Low Volatility,Unknown,,11.09,0.669,17224878.09,9.020000458,-10.01,1.47658E+11,-8636000256,277.898,-0.75969005,0.7461329,2733374976,sell,Positive
DINO,Energy,Oil & Gas Refining & Marketing,North America,Mid Cap,Medium Volatility,Growth,23.65896,4.8899997,1.162,2030633.865,40.93000031,1.73,29740251136,326364992,32.49,0.03573,0.80188864,1133438208,buy,Negative
HTH,Financial Services,Banks - Regional,North America,Mid Cap,Medium Volatility,Growth,19.417177,2.15,1.137,316915.1394,31.64999962,1.63,1169826048,106365000,,0.05393,0.9443814,,sell,Negative
NEM,Basic Materials,Gold,North America,Large Cap,Low Volatility,Unknown,,2.38,0.531,10663353.39,41.93999863,-2.19,16986999808,-1292999936,30.436,-0.05159,1.614816,-1939250048,buy,Negative
IDA,Utilities,Utilities - Regulated Electric,North America,Mid Cap,Low Volatility,Growth,21.81768,2.9000001,0.598,344979.2829,118.4700012,5.43,1840455040,282556992,95.303,0.0913,1.9300761,-644477888,strongBuy,Negative
CGNX,Technology,Scientific & Technical Instruments,North America,Mid Cap,High Volatility,Growth,78.39216,0.8,1.402,1260631.873,39.97999954,0.51,881500992,89054000,4.925,0.05829,4.376095,72581504,buy,Neutral
ADPT,Healthcare,Biotechnology,North America,Small Cap,High Volatility,Unknown,,0,1.447,1428603.984,5.940000057,-1.34,177282000,-195240992,100.425,-0.66761,3.9182057,-44016248,buy,Negative
CHTR,Communication Services,Telecom Services,North America,Large Cap,Medium Volatility,Value,12.436247,0,1.036,1351296.016,396.9700012,31.92,54869999616,4674999808,533.472,0.32965,4.0036006,3804124928,buy,Negative
ZEUS,Basic Materials,Steel,North America,Small Cap,High Volatility,Growth,18.54386,1.4199999,1.473,118160.9562,42.27999878,2.28,2012295936,26499000,41.93,0.047319997,0.824879,42133248,buy,Negative
GOGO,Communication Services,Telecom Services,North America,Small Cap,Medium Volatility,Growth,18.674417,0,1.103,994811.5538,8.029999733,0.43,404720000,56426000,1271.647,1.30819,19.210526,85546248,buy,Negative
MLAB,Technology,Scientific & Technical Instruments,North America,Small Cap,Medium Volatility,Unknown,,0.55,0.865,43491.23506,117.1399994,-45.61,228380000,-245651008,138.033,-0.89456004,3.932324,48727376,buy,Negative
